frameIdx or filename, face_detected(bool), BB_upperLeftCorner.x, BB_upperLeftCorner.y, BB_height, BB_width, isFemale, age; 
1, 1, 728, 577, 143, 151, 0, 30.7617;
2, 1, 727, 575, 145, 153, 0, 31.543;
3, 1, 726, 573, 147, 154, 0, 30.3467;
4, 1, 730, 576, 144, 150, 0, 30.8105;
5, 1, 729, 574, 146, 152, 0, 30.8105;
6, 1, 729, 575, 145, 151, 0, 32.1777;
7, 1, 729, 574, 146, 152, 0, 31.3477;
8, 1, 729, 575, 145, 153, 0, 32.7148;
8, 1, 349, 617, 68, 68, 1, 22.0215;
9, 1, 730, 577, 143, 151, 0, 33.1543;
9, 1, 351, 616, 68, 68, 1, 21.3501;
10, 1, 351, 616, 68, 68, 1, 21.3745;
10, 1, 728, 575, 145, 154, 0, 32.2754;
11, 1, 350, 613, 72, 72, 1, 21.3745;
11, 1, 729, 577, 143, 153, 0, 32.1289;
12, 1, 349, 613, 72, 72, 1, 21.2891;
12, 1, 730, 577, 143, 152, 0, 32.0068;
13, 1, 353, 615, 69, 69, 1, 21.5454;
13, 1, 732, 580, 140, 148, 0, 30.8838;
14, 1, 730, 577, 143, 152, 0, 32.2998;
14, 1, 352, 614, 70, 70, 1, 21.875;
15, 1, 731, 579, 141, 150, 0, 31.5674;
16, 1, 356, 614, 69, 69, 0, 22.1069;
17, 1, 355, 612, 70, 70, 0, 24.2554;
18, 1, 746, 557, 163, 171, 0, 24.231;
19, 1, 747, 557, 163, 171, 0, 24.585;
20, 1, 748, 559, 161, 168, 0, 24.4873;
22, 1, 1056, 401, 49, 49, 0, 31.2988;
22, 1, 750, 561, 159, 165, 0, 24.4019;
23, 1, 357, 605, 80, 80, 0, 26.6846;
23, 1, 752, 563, 157, 163, 0, 22.9858;
24, 1, 358, 605, 81, 81, 0, 26.2939;
24, 1, 749, 559, 161, 166, 0, 23.8892;
25, 1, 749, 561, 159, 165, 0, 23.645;
25, 1, 358, 605, 81, 81, 0, 26.1719;
26, 1, 750, 559, 161, 166, 0, 23.6694;
26, 1, 360, 606, 79, 79, 0, 25.3418;
27, 1, 361, 606, 78, 78, 0, 24.6582;
27, 1, 1012, 392, 51, 51, 0, 29.9316;
27, 1, 751, 563, 157, 163, 0, 23.5718;
28, 1, 363, 607, 76, 76, 0, 24.6582;
28, 1, 750, 560, 160, 164, 0, 23.4497;
29, 1, 364, 607, 76, 76, 0, 24.5239;
29, 1, 754, 569, 151, 157, 0, 25.0244;
30, 1, 365, 605, 78, 78, 0, 25.2197;
30, 1, 754, 569, 151, 158, 0, 24.231;
31, 1, 366, 605, 78, 78, 0, 24.5483;
32, 1, 378, 606, 72, 72, 0, 23.0469;
33, 1, 379, 605, 73, 73, 0, 24.0234;
33, 1, 0, 459, 84, 73, 1, 29.3457;
34, 1, 378, 605, 74, 74, 0, 21.7407;
35, 1, 377, 605, 74, 74, 0, 23.877;
36, 1, 378, 605, 73, 73, 0, 22.7539;
37, 1, 25, 454, 78, 78, 0, 28.5889;
38, 1, 31, 445, 85, 85, 0, 26.416;
39, 1, 32, 443, 88, 88, 0, 30.3955;
39, 1, 363, 603, 81, 81, 0, 20.9351;
39, 1, 744, 559, 161, 170, 0, 26.7334;
40, 1, 45, 446, 81, 81, 0, 36.4502;
40, 1, 364, 603, 81, 81, 0, 21.2891;
